"","census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","arrests_B_pct","arrests_W_pct","pct_arrests","pct_black_arrests","pct_white_arrests","SIR","SIR_B","SIR_W"
"182",11608,2011,0,5,5,37,129,5272,4142,973,0.785660091,0.184559939,0,0.980392156862745,0.000948388687619734,0,0.00120711716279182,0.0277427461185064,0,0.0353060408356464
"183",11608,2012,1,0,1,37,129,5457,4263,1015,0.781198461,0.185999633,0.909090909090909,0,0.000183247512415019,0.00098512461826421,0,0.00536054640967237,0.0287527458337594,0
"184",11608,2013,0,0,0,37,129,5674,4607,871,0.811949242,0.153507226,0,0,0,0,0,0,0,0
"185",11608,2014,0,0,0,37,129,5766,4958,633,0.859868193,0.109781478,0,0,0,0,0,0,0,0
"186",11608,2015,0,0,0,37,129,6467,5381,813,0.832070512,0.125715169,0,0,0,0,0,0,0,0
"187",11608,2016,1,0,1,37,129,5993,4789,967,0.799098949,0.161354914,0.909090909090909,0,0.000166858554003771,0.00103401923275773,0,0.00488134561849084,0.0301756694737983,0
"188",11608,2017,0,0,0,37,129,6101,5002,765,0.819865596,0.12538928,0,0,0,0,0,0,0,0
"189",11608,2018,0,0,0,37,129,6144,4906,1003,0.798502604,0.163248698,0,0,0,0,0,0,0,0
"190",11701,2010,16,91,107,37,129,4056,3749,139,0.924309665,0.034270217,0.149393090569561,0.849673202614379,0.0263800202164641,0.115025161754134,0.0242724920647622,0.771557751110851,3.29952478784706,0.709876689810208
"191",11701,2011,14,91,105,37,129,4345,3998,141,0.92013809,0.032451093,0.133206470028544,0.865842055185538,0.0241651515500219,0.0992204110559887,0.0227608113854081,0.706810439576493,2.84696540945838,0.665697102490981
"192",11701,2012,18,73,91,37,129,4710,4469,118,0.948832272,0.025053079,0.197585071350165,0.801317233809001,0.0193201842848347,0.152413209144793,0.0163343849992168,0.565127678189372,4.35658064774081,0.477775696529555
"193",11701,2013,15,57,72,37,129,4775,4520,125,0.946596859,0.02617801,0.208044382801664,0.790568654646325,0.0150782182572093,0.119904076738609,0.0126103404791929,0.441051074975397,3.43182820975855,0.368851179741552
"194",11701,2014,15,69,84,37,129,4840,4589,89,0.948140496,0.01838843,0.178359096313912,0.820451843043995,0.0173550133261709,0.168350168350168,0.0150356279008956,0.507653356087901,4.77578655343296,0.439794723643242
"195",11701,2015,9,70,79,37,129,4995,4823,0,0.965565566,0,0.11378002528445,0.884955752212389,0.0158154991892054,90,0.0145134871762974,0.462629242315472,90,0.424534696505319
"196",11701,2016,25,77,102,37,129,5065,4956,0,0.978479763,0,0.244857982370225,0.754162585700294,0.0201378057688891,250,0.0155364096769637,0.589068390191188,250,0.45446339449369
"197",11701,2017,29,78,108,37,129,4850,4650,92,0.958762887,0.018969072,0.268270120259019,0.721554116558742,0.022267582111709,0.314875135722041,0.0167738328207996,0.651352216385385,8.94138821949186,0.490641481183327
"198",11701,2018,16,69,85,37,129,4811,4618,38,0.9598836,0.007898566,0.188014101057579,0.810810810810811,0.0176674772920954,0.41994750656168,0.0149412095883588,0.516791454793342,11.4421562166653,0.43703466110927
"199",11703,2010,0,32,33,37,129,3582,3408,111,0.951423786,0.030988275,0,0.966767371601208,0.0092124731302867,0,0.00938939585106071,0.26941981113553,0,0.274582881750723
"200",11703,2011,7,32,39,37,129,3729,3620,27,0.970769643,0.007240547,0.179028132992327,0.818414322250639,0.0104582875224585,0.25830258302583,0.00883953481948013,0.305863300249562,6.84594433483834,0.258515328129687
